Tiempo(s);Concentracion (ppm);Temperatura;Humedad
0;0.0;26.76;46.35
1;0.0;26.76;46.35
2;0.0;26.73;46.35
2;0.1;26.74;46.35
3;0.1;26.74;46.35
4;0.0;26.76;46.35
4;0.0;26.74;46.35
5;0.0;26.76;46.35
6;0.0;26.74;46.35
7;0.0;26.74;46.35
7;0.0;26.74;46.35
8;0.0;26.76;46.35
9;0.0;26.76;46.35
9;0.0;26.76;46.35
10;0.0;26.76;46.35
11;0.1;26.74;46.35
12;0.1;26.76;46.35
12;0.1;26.76;46.35
13;0.1;26.74;46.35
14;0.1;26.74;46.35
14;0.1;26.76;46.35
15;0.1;26.74;46.35
16;0.1;26.77;46.35
17;0.0;26.76;46.35
17;0.0;26.76;46.35
18;0.0;26.76;46.35
19;0.0;26.76;46.35
19;0.0;26.76;46.35
20;0.0;26.76;46.35
21;0.0;26.74;46.35
22;0.1;26.76;46.35
22;0.1;26.76;46.35
23;0.0;26.76;46.35
24;0.0;26.76;46.35
24;0.0;26.74;46.35
25;0.0;26.74;46.35
26;0.0;26.76;46.35
