Tiempo(s);Concentracion (ppm);Temperatura;Humedad
0;0.0;27.86;43.78
1;0.0;27.85;43.78
2;0.0;27.85;43.78
2;0.0;27.85;43.78
3;0.0;27.85;43.78
4;0.0;27.86;43.78
4;0.0;27.85;43.78
5;0.0;27.85;43.78
6;0.0;27.85;43.78
7;0.0;27.85;43.78
7;0.0;27.85;43.78
8;0.0;27.85;43.78
9;0.0;27.85;43.78
9;0.0;27.86;43.78
10;0.0;27.86;43.78
11;0.0;27.85;43.78
12;0.0;27.88;43.78
12;0.0;27.85;43.78
13;0.0;27.86;43.78
14;0.0;27.86;43.78
14;0.0;27.85;43.78
15;0.0;27.85;43.78
16;0.0;27.86;43.78
17;0.0;27.88;43.78
17;0.0;27.88;43.78
18;0.0;27.88;43.78
19;0.0;27.88;43.78
19;0.0;27.88;43.78
20;0.0;27.88;43.78
21;0.0;27.88;43.78
22;0.0;27.88;43.78
22;0.0;27.88;43.78
23;0.0;27.86;43.78
24;0.0;27.88;43.78
24;0.0;27.88;43.78
25;0.0;27.86;43.78
26;0.0;27.88;43.78
