Tiempo(s);Concentracion (ppm);Temperatura;Humedad
0;0.1;26.77;46.35
1;0.1;26.77;46.24
2;0.1;26.77;46.24
3;0.1;26.77;46.24
3;0.1;26.76;46.24
4;0.0;26.77;46.24
5;0.0;26.77;46.35
6;0.0;26.79;46.35
6;0.0;26.77;46.24
7;0.0;26.77;46.35
8;0.0;26.77;46.35
9;0.0;26.76;46.24
9;0.0;26.77;46.24
10;0.1;26.77;46.35
11;0.1;26.76;46.24
12;0.1;26.77;46.24
12;0.1;26.77;46.35
13;0.1;26.77;46.24
14;0.1;26.77;46.35
15;0.1;26.76;46.35
16;0.1;26.77;46.35
16;0.1;26.77;46.35
17;0.1;26.77;46.35
18;0.1;26.77;46.35
19;0.1;26.76;46.35
19;0.1;26.77;46.35
20;0.1;26.77;46.35
21;0.1;26.77;46.35
22;0.1;26.77;46.35
22;0.1;26.77;46.35
23;0.1;26.76;46.35
24;0.1;26.76;46.35
25;0.1;26.76;46.35
26;0.1;26.77;46.35
26;0.1;26.76;46.35
27;0.1;26.74;46.35
28;0.1;26.76;46.35
29;0.1;26.76;46.35
29;0.1;26.76;46.35
30;0.1;26.76;46.35
31;0.1;26.74;46.35
32;0.1;26.76;46.35
32;0.1;26.76;46.35
33;0.1;26.76;46.35
34;0.1;26.76;46.35
35;0.1;26.76;46.35
35;0.1;26.74;46.35
36;0.1;26.74;46.35
37;0.1;26.76;46.35
38;0.1;26.76;46.35
38;0.1;26.76;46.35
39;0.1;26.74;46.35
40;0.1;26.76;46.35
41;0.1;26.74;46.35
42;0.1;26.74;46.35
42;0.0;26.76;46.35
43;0.0;26.74;46.35
44;0.0;26.73;46.35
45;0.0;26.76;46.35
45;0.0;26.76;46.35
46;0.0;26.76;46.35
47;0.0;26.74;46.35
48;0.0;26.74;46.35
49;0.0;26.74;46.35
49;0.0;26.74;46.35
50;0.0;26.74;46.35
51;0.0;26.74;46.35
52;0.1;26.74;46.35
52;0.0;26.74;46.35
53;0.0;26.74;46.35
54;0.0;26.74;46.35
55;0.0;26.74;46.35
55;0.0;26.74;46.35
56;0.0;26.76;46.35
57;0.0;26.73;46.35
58;0.1;26.74;46.35
59;0.1;26.74;46.35
59;0.1;26.73;46.35
60;0.1;26.73;46.35
61;0.1;26.73;46.35
62;0.1;26.74;46.35
62;0.1;26.74;46.35
63;0.1;26.74;46.35
64;0.0;26.74;46.35
65;0.0;26.73;46.35
65;0.0;26.74;46.35
66;0.0;26.73;46.35
67;0.0;26.73;46.35
68;0.0;26.74;46.35
68;0.0;26.74;46.35
69;0.0;26.74;46.35
70;0.0;26.74;46.35
71;0.0;26.74;46.35
71;0.0;26.73;46.35
72;0.0;26.74;46.35
73;0.1;26.74;46.35
74;0.1;26.74;46.35
75;0.0;26.74;46.35
75;0.0;26.76;46.35
76;0.0;26.76;46.35
77;0.0;26.76;46.35
78;0.0;26.77;46.35
78;0.0;26.77;46.35
79;0.0;26.76;46.35
80;0.0;26.76;46.35
81;0.0;26.77;46.35
81;0.0;26.77;46.35
82;0.0;26.76;46.35
83;0.0;26.76;46.35
84;0.1;26.77;46.35
85;0.1;26.76;46.35
85;0.1;26.76;46.35
86;0.1;26.77;46.35
87;0.1;26.76;46.35
88;0.1;26.76;46.35
88;0.1;26.76;46.35
89;0.1;26.76;46.35
90;0.1;26.76;46.35
91;0.1;26.76;46.35
91;0.1;26.76;46.35
92;0.1;26.76;46.35
93;0.1;26.76;46.35
94;0.1;26.76;46.35
94;0.1;26.76;46.35
95;0.0;26.77;46.35
96;0.0;26.77;46.35
97;0.0;26.79;46.35
97;0.0;26.77;46.35
98;0.0;0.0;0.0
