Tiempo(s);Concentracion (ppm);Temperatura;Humedad
0;0.0;27.86;43.78
1;0.0;27.88;43.78
2;0.0;27.88;43.78
3;0.0;27.85;43.78
3;0.0;27.85;43.78
4;0.0;27.86;43.78
5;0.0;27.86;43.78
6;0.0;27.86;43.78
6;0.0;27.86;43.78
7;0.0;27.86;43.78
8;0.0;27.86;43.78
9;0.0;27.86;43.78
9;0.0;27.86;43.78
10;0.0;27.86;43.78
11;0.0;27.86;43.78
12;0.0;27.86;43.78
12;0.0;27.86;43.78
13;0.0;27.86;43.78
14;0.0;27.86;43.78
15;0.0;27.86;43.78
16;0.0;27.86;43.78
16;0.0;27.86;43.78
17;0.0;27.86;43.78
18;0.0;27.86;43.78
19;0.0;27.88;43.78
19;0.0;27.86;43.78
20;0.0;27.88;43.78
21;0.0;27.88;43.78
22;0.0;27.86;43.78
22;0.0;27.86;43.78
23;0.0;27.88;43.78
24;0.0;27.86;43.78
25;0.0;27.86;43.78
26;0.0;27.88;43.78
26;0.0;27.88;43.78
27;0.0;27.88;43.78
28;0.0;27.88;43.78
29;0.0;27.88;43.78
29;0.0;27.86;43.78
30;0.0;27.86;43.78
31;0.0;27.88;43.78
32;0.0;27.86;43.78
32;0.0;27.86;43.78
33;0.0;27.86;43.78
34;0.0;27.88;43.78
35;0.0;27.88;43.78
35;0.0;27.85;43.78
36;0.0;27.86;43.78
37;0.0;27.86;43.78
38;0.0;27.86;43.78
38;0.0;27.86;43.78
39;0.0;27.86;43.78
40;0.0;27.86;43.78
41;0.0;27.88;43.78
42;0.0;27.88;43.78
42;0.0;27.86;43.78
43;0.0;27.86;43.78
44;0.0;27.86;43.78
45;0.0;27.86;43.78
45;0.0;27.88;43.78
46;0.0;27.88;43.78
47;0.0;27.88;43.78
48;0.0;27.88;43.78
49;0.0;27.86;43.78
49;0.0;27.86;43.78
50;0.0;27.88;43.78
51;0.0;27.86;43.78
52;0.0;27.86;43.78
52;0.0;27.88;43.78
53;0.0;27.85;43.78
54;0.0;27.86;43.78
55;0.0;27.86;43.78
55;0.0;27.86;43.78
56;0.0;27.88;43.78
57;0.0;27.88;43.78
58;0.0;27.88;43.78
59;0.0;27.86;43.78
59;0.0;27.85;43.78
60;0.0;27.85;43.78
61;0.0;27.86;43.78
62;0.0;27.86;43.78
62;0.0;27.85;43.78
63;0.0;27.85;43.78
64;0.0;27.86;43.78
65;0.0;27.86;43.78
65;0.0;27.86;43.78
66;0.0;27.86;43.78
67;0.0;27.86;43.78
68;0.0;27.86;43.78
68;0.0;27.86;43.78
69;0.0;27.86;43.78
70;0.0;27.88;43.78
71;0.0;27.88;43.78
71;0.0;27.88;43.78
72;0.0;27.86;43.78
73;0.0;27.86;43.78
74;0.0;27.88;43.78
75;0.0;27.88;43.78
75;0.0;27.86;43.78
76;0.0;27.86;43.78
77;0.0;27.88;43.78
78;0.0;27.88;43.78
78;0.0;27.88;43.78
79;0.0;27.86;43.78
80;0.0;27.88;43.78
81;0.0;27.86;43.78
81;0.0;27.86;43.78
82;0.0;27.86;43.78
83;0.0;27.88;43.78
84;0.0;27.86;43.78
85;0.0;27.86;43.78
85;0.0;27.88;43.78
86;0.0;27.88;43.78
87;0.0;27.88;43.78
88;0.0;27.86;43.78
88;0.0;27.88;43.78
89;0.0;27.86;43.78
90;0.0;27.86;43.78
91;0.0;27.88;43.78
91;0.0;27.88;43.78
92;0.0;27.88;43.78
93;0.0;27.86;43.78
94;0.0;27.86;43.78
94;0.0;27.86;43.78
95;0.0;27.88;43.78
96;0.0;27.88;43.78
97;0.0;27.86;43.78
97;0.0;27.86;43.78
98;0.0;0.0;0.0
